dimension,value,field,count,denominator,share
"band","B2","idempotencyOrImmutable","0","150","0"
"band","B2","skipIfPublished","7","150","0.04666666666666667"
"band","B2","persistedArtifactOrEvidence","43","150","0.2866666666666667"
"band","B2","manualRerunOnly","19","150","0.12666666666666668"
"band","B2","noVisibleGuard","66","150","0.44"
"band","B2","unresolved","0","150","0"
"band","B3","concurrency","43","150","0.2866666666666667"
"band","B3","retry","4","150","0.02666666666666667"
"band","B3","releaseOrTagExistenceCheck","6","150","0.04"
"band","B3","registryOrVersionExistenceCheck","2","150","0.013333333333333334"
"band","B3","idempotencyOrImmutable","0","150","0"
"band","B3","skipIfPublished","5","150","0.03333333333333333"
"band","B3","persistedArtifactOrEvidence","46","150","0.30666666666666664"
"band","B3","manualRerunOnly","24","150","0.16"
"band","B3","noVisibleGuard","58","150","0.38666666666666666"
"band","B3","unresolved","0","150","0"
"band","B4","concurrency","21","67","0.31343283582089554"
"band","B4","retry","1","67","0.014925373134328358"
"band","B4","releaseOrTagExistenceCheck","3","67","0.04477611940298507"
"band","B4","registryOrVersionExistenceCheck","1","67","0.014925373134328358"
"band","B4","idempotencyOrImmutable","0","67","0"
"band","B4","skipIfPublished","3","67","0.04477611940298507"
"band","B4","persistedArtifactOrEvidence","19","67","0.2835820895522388"
"band","B4","manualRerunOnly","12","67","0.1791044776119403"
"band","B4","noVisibleGuard","22","67","0.3283582089552239"
"band","B4","unresolved","0","67","0"
